2111038-70685
96 o -71.073501 42.353346
97 h -71.125514 42.331004
2120773-143095
1 h -71.125514 42.331004
27 o -71.073501 42.353346
47 o -71.102714 42.345254
108 h -71.125514 42.331004
2121820-150931
1 h -71.078988 42.414075
33 o -71.077396 42.352451
38 o -71.153088 42.357075
44 o -71.056188 42.359925
46 o -71.021988 42.399825
49 h -71.078988 42.414075
111 o -71.103775 42.408069
112 h -71.078988 42.414075
2122426-196211
1 h -71.144557 42.305552
20 w -71.098957 42.382502
75 h -71.144557 42.305552
103 o -71.071834 42.354027
129 h -71.144557 42.305552
2122934-143154
1 h -71.168535 42.691415
20 o -71.147672 42.593108
22 o -71.137185 42.496665
43 o -71.151435 42.691415
80 o -71.077001 42.349628
86 h -71.168535 42.691415
102 o -71.154641 42.728821
104 h -71.168535 42.691415
111 o -71.159985 42.697115
126 h -71.168535 42.691415
2123746-258311
1 h -71.007762 42.387762
56 o -71.095564 42.332319
58 o -71.098962 42.382062
61 o -71.073312 42.302262
63 o -71.113212 42.307962
67 o -71.073312 42.353562
82 h -71.007762 42.387762
2123769-258311
1 h -71.007762 42.387762
74 o -71.164221 42.313693
77 h -71.007762 42.387762
80 o -71.073312 42.353562
81 h -71.007762 42.387762
2123828-229386
1 h -71.142852 42.343865
69 o -71.07209 42.353178
71 h -71.142852 42.343865
2123844-229386
1 h -71.142852 42.343865
23 o -71.059749 42.308808
48 o -71.171352 42.335315
55 o -71.164838 42.338572
63 o -71.07255 42.352946
95 h -71.142852 42.343865
2123848-229386
1 h -71.142852 42.343865
40 o -71.070143 42.351243
56 h -71.142852 42.343865
116 o -71.077505 42.35186
131 h -71.142852 42.343865
2123878-229386
1 h -71.142852 42.343865
40 o -71.108397 42.353368
41 o -71.127869 42.336681
43 o -71.07255 42.352946
49 o -71.078266 42.349572
89 h -71.142852 42.343865
2124046-96065
1 h -71.09859 42.416107
22 o -71.07294 42.350557
32 h -71.09859 42.416107
2124185-104353
1 h -71.350562 42.599555
36 o -71.343437 42.599555
47 o -71.072613 42.352378
56 h -71.350562 42.599555
97 o -71.285411 42.568511
100 h -71.350562 42.599555
2124422-105083
1 h -71.581621 42.255131
50 o -71.068594 42.391054
53 o -71.835271 42.273181
56 o -71.835271 42.244681
81 h -71.581621 42.255131
92 o -71.073605 42.35269
2124487-105086
1 h -71.087751 42.296386
41 o -71.005101 42.393286
43 o -71.046867 42.372976
50 o -71.061245 42.365967
51 o -71.056102 42.361768
59 o -71.171445 42.318828
65 o -71.076351 42.350536
66 o -70.997976 42.393286
67 o -71.009154 42.384721
73 h -71.087751 42.296386
104 o -71.073313 42.355052
116 h -71.087751 42.296386
2124491-105086
1 h -71.087751 42.296386
60 o -71.076351 42.350536
79 h -71.087751 42.296386
121 o -71.058864 42.357546
2124498-105086
1 h -71.087751 42.296386
92 o -71.076351 42.350536
2124505-105086
1 h -71.087751 42.296386
