2111038,42.350343,-71.07872,o,38,44
2111549,42.350133,-71.075209,o,67,79
2111552,42.350133,-71.075209,o,71,144
2112254,42.352961,-71.073119,o,39,60
2113524,42.350397,-71.077462,o,79,86
2113961,42.352738,-71.071676,o,82,84
2115049,42.351818,-71.070816,o,110,144
2115052,42.351818,-71.070816,o,100,144
2115053,42.351818,-71.070816,o,95,144
2115054,42.351818,-71.070816,o,68,144
2115117,42.353951,-71.073536,o,41,51
2116017,42.349786,-71.075226,o,103,117
2116056,42.353575,-71.072262,o,105,144
2117278,42.349822,-71.075991,o,67,74
2117553,42.353257,-71.074507,o,33,36
2117831,42.353357,-71.075304,o,11,13
2117857,42.353357,-71.075304,o,54,58
2117865,42.353357,-71.075304,o,83,95
2117866,42.353357,-71.075304,o,65,70
2117874,42.353357,-71.075304,o,52,57
2117882,42.353357,-71.075304,o,47,50
2117898,42.353357,-71.075304,o,76,79
2117901,42.353357,-71.075304,o,59,68
2117947,42.353357,-71.075304,o,53,56
2117953,42.353357,-71.075304,o,3,12
2117970,42.353357,-71.075304,o,31,32
2117991,42.353357,-71.075304,o,110,119
2118027,42.353357,-71.075304,o,37,88
2118824,42.354312,-71.072507,o,113,114
2120760,42.353346,-71.073501,o,74,76
2120763,42.353346,-71.073501,o,96,97
2120773,42.353346,-71.073501,o,27,47
2121820,42.352451,-71.077396,o,33,38
2122426,42.354027,-71.071834,o,103,129
2122934,42.349628,-71.077001,o,80,86
2123746,42.353562,-71.073312,o,67,82
2123769,42.353562,-71.073312,o,80,81
2123828,42.353178,-71.07209,o,69,71
2123844,42.352946,-71.07255,o,63,95
2123848,42.35186,-71.077505,o,116,131
2123878,42.352946,-71.07255,o,43,49
2124046,42.350557,-71.07294,o,22,32
2124185,42.352378,-71.072613,o,47,56
2124422,42.35269,-71.073605,o,92,144
2124487,42.350536,-71.076351,o,65,66
2124491,42.350536,-71.076351,o,60,79
2124498,42.350536,-71.076351,o,92,144
2124505,42.350536,-71.076351,o,76,78
2124508,42.350536,-71.076351,o,28,31
2124508,42.350536,-71.076351,o,77,99
2124509,42.350536,-71.076351,o,37,49
2124515,42.350536,-71.076351,o,102,103
2124531,42.350536,-71.076351,o,62,64
2124564,42.350343,-71.07872,o,77,84
2125332,42.350322,-71.076809,o,48,58
2125369,42.350322,-71.076809,o,18,41
2125533,42.350618,-71.07782,o,91,105
2125606,42.351897,-71.073296,w,23,50
2125607,42.351897,-71.073296,w,24,36
2125607,42.351897,-71.073296,w,38,51
2125608,42.351897,-71.073296,w,23,51
2125609,42.351897,-71.073296,w,24,51
2125610,42.351897,-71.073296,w,24,51
2125611,42.351897,-71.073296,w,24,52
2125612,42.351897,-71.073296,w,24,51
2125613,42.351897,-71.073296,w,24,32
2125613,42.351897,-71.073296,w,37,50
2125614,42.351897,-71.073296,w,24,51
2125615,42.351897,-71.073296,w,24,51
2125616,42.351897,-71.073296,w,25,52
2125617,42.351897,-71.073296,w,23,50
2125618,42.351897,-71.073296,w,23,50
2125619,42.351897,-71.073296,w,24,38
2125619,42.351897,-71.073296,w,39,52
2125620,42.351897,-71.073296,w,25,32
2125620,42.351897,-71.073296,w,34,52
2125621,42.351897,-71.073296,w,24,51
2125657,42.350044,-71.07879,o,42,45
2125706,42.353737,-71.072,o,58,65
2126451,42.351943,-71.079167,o,31,38
